strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_blended_top5,3,6,0.0,1,0.0,True,4416.59,77.92,-11.82,12.35,77,4599.179134165366
T1_blended_top5,3,6,0.0,1,0.0,False,4416.59,77.92,-11.82,12.35,77,4599.179134165366
T1_blended_top5,3,6,0.0,1,0.55,True,4416.59,77.92,-11.82,12.35,77,4599.179134165366
T1_blended_top5,3,6,0.0,1,0.55,False,4416.59,77.92,-11.82,12.35,77,4599.179134165366
T1_blended_top5,3,6,0.0,3,0.0,True,4137.91,75.25,-11.82,12.6,101,4389.670514820592
T1_blended_top5,3,6,0.0,3,0.55,True,4137.91,75.25,-11.82,12.6,101,4389.670514820592
T1_blended_top5,2,4,0.0,1,0.0,True,3998.57,75.32,-11.26,12.3,77,4337.7635399673745
T1_blended_top5,2,4,0.0,1,0.55,False,3998.57,75.32,-11.26,12.3,77,4337.7635399673745
T1_blended_top5,2,4,0.0,1,0.55,True,3998.57,75.32,-11.26,12.3,77,4337.7635399673745
T1_blended_top5,2,4,0.0,1,0.0,False,3998.57,75.32,-11.26,12.3,77,4337.7635399673745
T1_blended_top5,2,4,0.0,3,0.0,True,3801.63,73.27,-11.26,12.64,101,4229.545938009789
T1_blended_top5,2,4,0.0,3,0.55,True,3801.63,73.27,-11.26,12.64,101,4229.545938009789
T1_blended_top5,3,6,0.0,1,0.58,True,4005.99,77.63,-11.82,12.09,76,4090.359524180967
T1_blended_top5,3,6,0.0,1,0.58,False,4005.99,77.63,-11.82,12.09,76,4090.359524180967
T1_blended_top5,3,6,0.0,3,0.58,True,3752.65,75.0,-11.82,12.33,100,3901.936388455538
T1_blended_top5,2,4,0.0,1,0.58,True,3625.97,75.0,-11.26,12.04,76,3856.659771615008
T1_blended_top5,2,4,0.0,1,0.58,False,3625.97,75.0,-11.26,12.04,76,3856.659771615008
T1_blended_top5,2,4,0.0,3,0.58,True,3446.94,73.0,-11.26,12.37,100,3759.0202120717777
T1_blended_top5,0,0,0.0,3,0.0,False,2399.84,71.73,-8.77,13.32,237,3517.4727533265104
T1_blended_top5,0,0,0.0,3,0.55,False,2399.84,71.73,-8.77,13.32,237,3517.4727533265104
T1_blended_top5,3,6,0.0,1,0.6,False,3640.63,77.33,-14.46,11.83,75,3021.2990232858992
T1_blended_top5,3,6,0.0,1,0.6,True,3640.63,77.33,-14.46,11.83,75,3021.2990232858992
T1_blended_top5,5,10,0.0,1,0.55,False,4679.03,79.22,-18.55,11.59,77,3013.2474526854216
T1_blended_top5,5,10,0.0,1,0.55,True,4679.03,79.22,-18.55,11.59,77,3013.2474526854216
T1_blended_top5,5,10,0.0,1,0.0,False,4679.03,79.22,-18.55,11.59,77,3013.2474526854216
T1_blended_top5,5,10,0.0,1,0.0,True,4679.03,79.22,-18.55,11.59,77,3013.2474526854216
T1_blended_top5,0,0,0.0,3,0.58,False,2173.65,71.67,-9.07,12.91,233,3002.529443892751
T1_blended_top5,2,4,0.0,1,0.6,False,3294.42,74.67,-13.03,11.78,75,3000.904319315752
T1_blended_top5,2,4,0.0,1,0.6,True,3294.42,74.67,-13.03,11.78,75,3000.904319315752
T1_blended_top5,3,6,0.0,5,0.0,True,3030.14,73.33,-11.82,11.62,120,2982.8679251170042
T1_blended_top5,3,6,0.0,5,0.55,True,3030.14,73.33,-11.82,11.62,120,2982.8679251170042
T1_blended_top5,2,4,0.0,5,0.55,True,2849.26,71.67,-11.26,11.72,120,2956.1653507340952
T1_blended_top5,2,4,0.0,5,0.0,True,2849.26,71.67,-11.26,11.72,120,2956.1653507340952
T1_top5,0,0,0.0,3,0.0,False,2196.4,71.55,-9.39,12.96,232,2951.0821944177096
T1_top5,0,0,0.0,3,0.55,False,2196.4,71.55,-9.39,12.96,232,2951.0821944177096
T1_top5,2,4,0.0,3,0.58,False,1390.07,63.48,-5.52,12.84,230,2950.700736196319
T1_top5,2,4,0.0,3,0.6,False,1390.07,63.48,-5.52,12.84,230,2950.700736196319
